335.8 , 0.00
335.7 , 0.00
335.4 , 0.00
335.6 , 0.00
335.4 , 0.00
335.2 , 0.00
335.4 , 0.00
335.4 , 0.00
335.1 , 0.00
335.6 , 0.00
335.7 , 0.00
335.9 , 0.00
335.8 , 0.00
335.2 , 0.00
330.7 , 0.00
287.4 , 0.00
234.5 , 0.00
230.0 , 0.00
226.1 , 0.00
224.0 , 0.00
255.5 , 0.00
301.3 , 0.00
306.1 , 0.00
310.7 , 0.00
313.5 , 0.00
316.6 , 0.00
319.3 , 0.00
322.0 , 0.00
323.7 , 0.00
325.0 , 0.00
325.5 , 0.00
326.4 , 0.00
326.8 , 0.00
327.2 , 0.00
327.1 , 0.00
327.2 , 0.00
327.1 , 0.00
327.2 , 0.00
326.9 , 0.00
327.3 , 0.00
327.2 , 0.00
327.4 , 0.00
327.2 , 0.00
327.3 , 0.00
327.2 , 0.00
327.0 , 0.00
327.0 , 0.00
327.0 , 0.00
327.3 , 0.00
327.4 , 0.00
327.5 , 0.00
327.5 , 0.00
327.8 , 0.00
327.8 , 0.00
327.3 , 0.00
327.4 , 0.00
327.4 , 0.00
327.3 , 0.00
327.2 , 0.00
327.5 , 0.00
327.5 , 0.00
327.1 , 0.00
